run_name,condition,network_class,dataset,delay_k,efference_length,step,proprio_size,probe,target,test_r2,val_r2,lambda,n_train,n_test,n_features
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,input::current_proprio,delta,,-inf,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,input::current_proprio,delta,0.6065150766374438,0.5575253284280275,1.0,54687,23992,277
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,input::current_proprio,delta,0.5313984090467423,0.500934645849276,100.0,49173,18907,277
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,input::current_proprio,delta,0.5575265630293746,0.5181238443790199,100.0,36353,14130,277
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,input::delayed_proprio,delta,,-inf,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,input::delayed_proprio,delta,0.5891834228714782,0.5505709587024966,100.0,54687,23992,277
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,input::delayed_proprio,delta,0.5087064433673147,0.4914855248904304,100.0,49173,18907,277
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,input::delayed_proprio,delta,0.5264216390857167,0.48083293490034873,100.0,36353,14130,277
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::0/state/proprioception,delta,,-inf,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::0/state/proprioception,delta,0.6064915659940346,0.5575116077194535,1.0,54687,23992,277
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::0/state/proprioception,delta,0.5313971261801131,0.5009263473827531,100.0,49173,18907,277
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::0/state/proprioception,delta,0.5575271446982848,0.5181222634597606,100.0,36353,14130,277
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::0/state/task_obs,delta,,-inf,1.0,57019,24990,640
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::0/state/task_obs,delta,0.0072256612997827485,0.0010503202413381096,1000.0,54687,23992,640
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::0/state/task_obs,delta,0.007566595675862153,0.0026779698074954617,1000.0,49173,18907,640
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::0/state/task_obs,delta,0.007132066225779554,-0.001865608719631373,1000.0,36353,14130,640
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::1/state/proprioception,delta,,-inf,1.0,57019,24990,277
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::1/state/proprioception,delta,0.6065019345717995,0.5575216981572173,1.0,54687,23992,277
RodentEncDec_delay10_eff10-20260611-120848,efference,RodentEncDecDelays,old_eval,10,10,600064000,277,layer::1/state/proprioception,delta,0.5313984918123313,0.5009337017123663,100.0,49173,18907,277
RodentEncDec_delay20_eff20-20260626-084448,efference,RodentEncDecDelays,old_eval,20,20,600064000,277,layer::1/state/proprioception,delta,0.5575265182856124,0.5181217364866741,100.0,36353,14130,277
RodentEncDec_delay0_eff0-20260629-090548,efference,RodentEncDecDelays,old_eval,0,0,600064000,277,layer::1/state/task_obs,delta,,-inf,1.0,57019,24990,640
RodentEncDec_delay5_eff5-20260623-085807,efference,RodentEncDecDelays,old_eval,5,5,600064000,277,layer::1/state/task_obs,delta,0.007219090266960548,0.0010539790969578133,1000.0,54687,23992,640
